"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","Income"
"176","ICN","Korean",">50","1","1","Leisure",5,2,"4","2",0,"1","4","1",49,1,"7",6800,65,"12","0"
"177","ICN","Korean",">50","2","1","Leisure",5,1,"5","1",2,"3","3","1",52,2,"10",90000,60,"12","0"
"178","ICN","Korean","<=50","1","1","Leisure",5,2,"5","2",1,"3","3","1",52,2,"2",7500,30,"12","0"
"179","ICN","Korean","<=50","2","1","Leisure",45,2,"5","2",1,"4","2","1",140,2,"7",17900,180,"12","0"
"180","ICN","Korean","<=50","2","1","Leisure",6,2,"5","2",1,"3","3","1",40,2,"2",7500,10,"12","0"
"181","ICN","Korean",">50","1","4","Business",140,1,"5","2",10,"3","3","1",52,2,"10",50000,60,"12","0"
"182","ICN","Korean","<=50","2","1","Leisure",5,2,"5","2",122,"3","2","1",64,2,"8",48000,90,"12","0"
"183","ICN","Korean","<=50","1","1","Business",180,1,"5","2",4,"2","3","1",67,2,"8",50000,311,"12","0"
"184","ICN","Korean","<=50","1","2","Business",30,1,"5","2",12,"1","3","1",48,3,"4",52000,311,"2","30~80"
"185","ICN","Foreign","<=50","1","1","Business",8,10,"5","2",5,"1","2","2",120,3,"1",6050,10,"12","0"
"186","ICN","Korean","<=50","1","1","Leisure",5,1,"5","2",10,"3","2","1",65,3,"1",1800,30,"12","0"
"187","ICN","Foreign","<=50","1","1","Leisure",0,5,"5","2",0,"3","2","2",30,3,"2",10000,30,"12","0"
"188","ICN","Foreign","<=50","1","1","Leisure",6,5,"5","2",5,"3","2","1",41,3,"5",1100,30,"12","0"
"189","ICN","Korean","<=50","1","1","Business",150,0,"5","2",3,"4","4","1",150,2,"2",4600,10,"12","0"
"190","ICN","Korean","<=50","1","1","Leisure",5,1,"5","2",1,"3","3","1",64,1,"8",8000,40,"4","<=30"
"191","ICN","Korean","<=50","1","4","Business",180,1,"5","2",2,"3","3","1",52,2,"2",52000,311,"12","0"
"192","ICN","Foreign","<=50","1","4","Leisure",4,4,"5","1",2,"3","3","1",50,1,"8",56000,311,"3","30~80"
"193","ICN","Korean","<=50","2","1","Leisure",5,2,"5","1",1,"3","3","1",52,2,"8",38000,120,"5","30~80"
"194","ICN","Korean","<=50","2","4","Leisure",6,2,"5","2",1,"3","3","1",45,2,"8",24000,110,"12","0"
"195","ICN","Korean",">50","2","1","Leisure",6,1,"5","1",2,"1","3","2",66,2,"8",50000,311,"12","0"
"196","ICN","Korean","<=50","1","1","Leisure",5,2,"5","2",1,"3","3","1",45,2,"8",24000,65,"12","0"
"197","ICN","Korean",">50","2","1","Leisure",6,1,"5","2",1,"3","2","1",52,1,"8",50000,180,"7","30~80"
"198","ICN","Korean","<=50","1","1","Business",90,1,"5","2",4,"1","2","1",45,2,"1",10000,60,"12","0"
"199","ICN","Korean","<=50","1","1","Business",100,0,"6","2",0,"4","3","1",110,1,"7",1200,15,"12","0"
"200","ICN","Korean","<=50","2","1","Leisure",7,1,"6","2",1,"3","3","1",24,1,"1",1200,290,"8","150~200>"
"201","ICN","Korean","<=50","2","4","Business",7,1,"6","2",2,"3","3","1",24,3,"8",1200,290,"12","0"
"202","ICN","Foreign","<=50","1","1","Business",2,1,"6","2",3,"3","2","1",60,3,"2",1200,290,"12","0"
