Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
1,2,30,2,1,1,5,2,4,2,1,1,3,OZ751,16,10,2,2,75,2,8,14000,40,12,,,
1,3,45,1,1,1,5,1,4,2,1,"1,2",3,7C2301,19,35,3,1,35,2,8,,155,12,,,
1,2,22,1,4,3,150,0,4,2,0,1,3,,21,0,4,1,50,1,4,,155,8,,,
1,1,54,1,1,1,5,2,4,2,0,7,1,,21,,4,1,49,1,7,6800,65,12,,,
1,1,52,2,1,1,5,1,5,1,2,1,3,,19,0,3,1,,2,10,90000,60,12,,,
1,3,33,1,1,1,5,2,5,2,1,1,3,7C2201,19,35,3,1,,2,2,7500,30,12,,,
1,1,24,2,1,1,45,2,5,2,1,5,4,KE933,13,0,2,1,140,2,7,17900,180,12,,,
1,3,32,2,1,1,6,2,5,2,1,1,3,,20,5,3,1,40,2,2,7500,10,12,,,
1,1,57,1,4,2,140,1,5,2,10,1,3,KE641,18,40,3,1,,2,10,,60,12,,,
1,1,30,2,1,1,5,2,5,2,122,1,3,KE643,14,20,2,1,64,2,8,48000,90,12,,,
1,1,27,1,1,2,180,1,5,2,4,3,2,,18,30,3,1,67,2,8,50000,311,12,,,
1,1,34,1,2,2,30,1,5,2,12,2,1,KE607,19,45,3,1,48,3,4,,311,2,2,,
1,4,41,1,1,4,8,10,5,2,5,6,1,,13,40,2,2,120,3,1,,10,12,,,
1,,25,2,1,1,5,1,5,1,0,1,3,,13,25,2,1,,3,2,17000,311,12,,,
1,,27,2,1,1,5,1,5,1,0,1,3,,13,25,2,1,,3,2,17000,311,12,,,
1,1,30,1,1,1,5,1,5,2,10,2,3,KE643,14,20,2,1,65,3,1,1800,30,12,,,
1,4,39,1,1,1,0,5,5,2,0,1,3,8B0964,13,25,2,2,30,3,2,10000,30,12,,,
1,4,37,1,1,1,6,5,5,2,5,1,3,8B0964,13,25,2,1,41,3,5,1100,30,12,,,
1,1,36,1,1,2,150,0,5,2,3,4,4,KE061,21,35,4,1,150,2,2,4600,10,12,,,
1,2,43,1,1,4,6,7,5,2,2,1,3,,7,5,3,1,57,4,2,10000,20,12,,,
1,3,32,1,1,1,5,1,5,2,1,5,3,,20,40,3,1,64,1,8,8000,40,4,1,,
1,2,36,1,4,2,180,1,5,2,2,1,3,,19,15,3,1,,2,2,,311,12,,,
1,1,44,1,1,2,3,0,5,2,2,1,3,KE471,,,3,1,89,2,8,50000,390,12,,,
1,4,44,1,4,1,4,4,5,1,2,1,3,,18,0,3,1,50,1,8,56000,311,3,3,,
1,3,24,2,1,1,5,2,5,1,1,1,3,,20,5,3,1,,2,8,38000,120,5,2,,
1,1,28,2,4,1,6,2,5,2,1,1,3,KE631,8,35,3,1,45,2,8,24000,110,12,,,
1,2,55,2,1,1,6,1,5,1,2,2,1,,8,30,3,2,66,2,8,50000,311,12,,,
1,1,35,1,1,1,5,2,5,2,1,1,3,KE631,20,35,3,1,45,2,8,24000,65,12,,,
1,1,67,2,1,1,6,1,5,2,1,3,3,,5,40,2,1,,1,8,50000,180,7,2,4,
1,2,45,1,1,2,90,1,5,2,4,1,1,OZ377,17,0,2,1,45,2,1,10000,60,12,,,
1,1,22,1,1,3,100,0,6,2,0,6,4,,20,5,3,1,110,1,7,1200,15,12,,,
1,3,22,2,1,1,7,1,6,2,1,"2,3",3,7C2301,7,35,3,1,24,1,1,,290,8,7,,
1,3,22,2,4,3,7,1,6,2,2,1,3,7C2301,7,35,3,1,24,3,8,,290,12,,,
1,4,30,1,1,2,2,1,6,2,3,1,3,CX411,15,15,2,1,60,3,2,,290,12,,,
1,2,22,2,1,1,8,4,6,2,1,1,1,OZ3195,20,30,3,1,40,1,4,,390,8,2,,
1,4,45,1,1,1,5,1,7,2,0,1,3,8B0964,13,35,2,1,61,3,8,6000,120,12,,,
1,4,40,2,1,1,5,1,7,2,2,1,3,8B0964,13,35,2,1,61,3,8,6000,120,12,,,
1,1,24,1,5,2,90,1,8,2,4,"2,4",1,,19,0,3,1,37,1,5,,180,2,2,4,
1,2,45,1,2,2,15,1,8,2,7,1,1,OZ359,12,40,2,1,52,1,6,8000,40,1,3,,
1,2,44,2,2,1,99,1,8,2,4,2,1,OZ349,12,30,2,1,31,1,1,,34,9,4,4,
1,2,53,1,5,2,7,2,8,2,50,1,3,OZ741,18,30,3,1,75,1,8,,150,2,6,4,
1,2,50,2,1,1,99,1,8,2,0,1,2,OZ134,14,0,2,1,23,1,1,,180,9,5,,
1,4,49,1,1,1,4,2,8,1,0,1,3,7C2203,20,40,3,3,,1,5,2700,40,3,2,4,
1,4,52,2,1,4,99,0,8,2,0,1,3,5J195,21,35,4,1,27,1,6,15000,100,9,1,1,
1,2,31,2,1,1,15,2,8,2,0,3,2,OZ178,21,0,4,1,27,1,1,,180,2,3,,
1,4,55,1,1,2,5,1,8,2,2,2,1,CX419,20,5,3,1,,1,6,,180,2,,,
1,1,50,1,1,1,365,2,8,1,0,2,2,KE719,20,55,3,1,48,1,9,,180,2,,4,
1,4,47,2,1,1,4,2,8,1,0,1,3,7C2203,20,40,3,3,,1,5,2700,40,9,,4,
1,1,47,2,1,1,6,2,8,2,0,7,3,KE623,20,5,3,1,,3,5,,180,2,4,4,
1,3,37,1,4,4,99,0,8,2,1,1,3,CJ003,21,40,4,1,65,2,1,,180,12,,,
1,2,27,2,5,1,5,8,8,2,5,6,4,OZ601,8,10,3,1,14,1,5,,120,3,2,,
1,4,44,1,5,1,10,1,8,2,2,4,4,,16,50,2,2,50,1,8,,180,1,6,1,200000
1,2,54,2,1,4,3,0,8,2,4,3,2,,6,50,3,1,50,1,2,,180,9,7,2,100000
1,1,56,2,3,1,8,2,8,2,1,3,2,KE0001,17,40,2,2,260,2,1,,180,12,4,,
1,1,21,2,1,3,10,0,8,2,3,2,1,KE895,19,15,3,1,45,1,2,14000,35,8,6,1,9030
1,4,30,2,1,1,7,2,8,2,7,1,1,CZ370,20,30,3,2,50,1,5,,180,2,3,4,
1,4,27,2,1,1,15,1,8,2,3,1,3,,6,5,2,1,50,2,2,8000,30,12,,,
2,4,20,1,2,3,50,2,1,2,2,2,1,,19,50,3,3,67,2,5,1650,40,1,1,2,
2,4,55,1,1,2,3,0,1,2,5,2,1,MU9824,19,45,3,1,50,1,1,,60,1,5,1,110000
2,4,62,1,1,1,9,1,1,2,1,3,2,,19,15,3,1,20,1,5,4000,60,10,3,4,
2,4,60,2,1,1,9,1,1,2,2,2,2,,19,15,3,1,20,1,5,4000,60,9,3,2,
2,2,25,1,1,1,365,4,1,2,2,1,2,,,,3,1,36,1,1,,40,8,7,,
2,2,53,1,5,2,3,4,1,2,4,"1,2,3",2,nh1164,16,15,2,1,35,1,2,15000,60,1,3,,
2,2,28,2,1,1,3,1,1,2,4,3,2,OZ1143,17,50,2,1,50,1,1,,40,2,4,1,42000
