"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"201","2","1",39,"1","Foreign","Other",3,2,"City",6,"Others","Japan","2","Economic",53,1,"Personal",60,"w/income","30~150"
"202","2","1",56,"2","Korean","Leisure",3,14,"City",1,"China","China","2","Economic",44,1,"Personal",30,"w/income","30~150"
"203","2","1",64,"2","Korean","Leisure",4,14,"City",1,"Others","China","2","Economic",44,1,"Public",40,"w/income","30~150"
"204","2","1",67,"2","Korean","Leisure",4,14,"City",2,"Japan","China","2","Economic",45,1,"Personal",30,"no income","30~150"
"205","2","1",22,"2","Korean","Other",8,4,"City",3,"SA","China","2","Economic",30,1,"Public",10,"no income","150~200>"
"206","2","1",26,"2","Foreign","Other",7,0,"City",0,"Japan","Japan","1","Economic",60,1,"Public",40,"no income","30~150"
"207","2","1",28,"2","Foreign","Other",4,1,"City",6,"China","China","2","Other",50,2,"Public",20,"w/income","30~150"
"208","2","3",25,"2","Korean","Leisure",3,3,"City",0,"Others","Other","1","Economic",40,1,"Public",60,"w/income","30~150"
"209","2","4",38,"1","Korean","Leisure",5,1,"City",0,"Japan","Japan","2","Economic",40,1,"Public",30,"w/income","30~150"
"210","2","4",51,"2","Foreign","Other",365,2,"City",6,"Japan","Japan","2","Economic",40,1,"Public",15,"w/income","30~150"
"211","2","1",59,"2","Korean","Leisure",4,6,"City",0,"China","China","2","Economic",60,2,"Personal",10,"Other","00"
"212","2","1",58,"2","Korean","Leisure",3,6,"City",2,"China","China","2","Economic",60,2,"Personal",10,"no income","30~150"
"213","2","1",67,"2","Korean","Leisure",10,7,"City",0,"China","China","2","Economic",60,2,"Personal",10,"no income","30~150"
"214","2","2",64,"2","Korean","Leisure",4,2,"City",1,"Japan","Japan","3","Economic",36,1,"Public",40,"no income","30~150"
"215","2","1",48,"2","Korean","Leisure",2,3,"City",3,"Others","Japan","2","Other",70,1,"Personal",40,"no income","150~200>"
"216","2","2",30,"2","Korean","Other",7,1,"City",3,"China","China","2","Economic",42,1,"Personal",40,"no income","30~150"
"217","2","4",22,"2","Foreign","Other",30,7,"City",6,"China","China","2","Economic",55.25,1,"Personal",30,"w/income","00"
"218","2","4",30,"2","Foreign","Other",99,1,"City",1,"Japan","Japan","2","Economic",53,1,"Personal",20,"no income","<=30"
"219","2","3",30,"2","Korean","Leisure",3,2,"City",3,"Others","Other","1","Economic",64,2,"Public",5,"w/income","30~150"
"220","2","3",40,"2","Korean","Leisure",3,7,"City",1,"China","Other","1","Economic",44.7142857142857,2,"Personal",30,"w/income","30~150"
"221","2","3",46,"2","Korean","Leisure",3,7,"City",0,"Others","Other","1","Economic",44.7142857142857,2,"Personal",30,"w/income","30~150"
"222","2","3",39,"2","Korean","Leisure",3,7,"City",0,"Others","Other","1","Economic",44.7142857142857,2,"Personal",20,"w/income","<=30"
"223","2","4",59,"1","Korean","Leisure",8,1,"City",1,"China","Other","3","Economic",50,2,"Personal",10,"w/income","30~150"
"224","2","2",44,"1","Foreign","Leisure",10,1,"City",3,"Japan","Japan","2","Economic",70,1,"Personal",60,"w/income","30~150"
"225","2","2",39,"2","Foreign","Other",3,3,"City",6,"Others","Japan","2","Economic",35,1,"Personal",25,"w/income","30~150"
"226","2","2",21,"2","Korean","Leisure",30,0,"City",2,"China","China","2","Economic",33,1,"Public",90,"no income","30~150"
"227","2","2",20,"1","Korean","Leisure",4,0,"City",1,"Japan","Japan","3","Economic",50,1,"Public",40,"no income","30~150"
"228","2","2",30,"1","Korean","Other",100,1,"City",4,"China","China","2","Economic",40,1,"Public",4,"w/income","30~150"
"229","2","4",32,"1","Korean","Leisure",6,2,"City",1,"SA","Other","2","Economic",35,1,"Public",7,"w/income","30~150"
"230","2","4",28,"2","Korean","Leisure",6,2,"City",1,"SA","Other","2","Economic",35,1,"Public",80,"no income","30~150"
"231","2","1",36,"2","Foreign","Leisure",30,0,"City",4,"Others","China","1","Other",50,1,"Public",40,"Other","00"
"232","2","3",44,"2","Foreign","Leisure",7,1,"City",0,"Japan","Japan","2","Other",20,1,"Public",60,"w/income","<=30"
"233","2","1",74,"2","Korean","Leisure",3,13,"City",0,"China","China","2","Economic",48,1,"Personal",120,"no income","<=30"
"234","2","4",34,"1","Korean","Other",5,1,"City",2,"Others","Japan","3","Economic",60,1,"Personal",30,"w/income","30~150"
"235","2","1",45,"1","Foreign","Other",3,0,"City",3,"Others","Japan","2","Economic",25,2,"Public",30,"w/income","30~150"
"236","2","1",52,"2","Korean","Leisure",5,2,"City",1,"Japan","Japan","2","Economic",20,1,"Public",60,"no income","30~150"
"237","2","2",45,"2","Korean","Leisure",21,0,"City",3,"Japan","Japan","3","Economic",50,2,"Public",150,"no income","<=30"
"238","2","1",59,"2","Korean","Leisure",3,4,"City",1,"China","China","3","Economic",48,1,"Public",40,"no income","30~150"
"239","2","4",21,"2","Korean","Leisure",4,1,"City",0,"Japan","Japan","2","Economic",45,1,"Public",40,"no income","<=30"
"240","2","1",68,"2","Korean","Leisure",4,13,"City",0,"SA","China","2","Economic",48,1,"Personal",120,"no income","30~150"
"241","2","1",62,"2","Korean","Leisure",44,2,"City",0,"China","China","2","Economic",53,1,"Public",64,"w/income","30~150"
"242","2","1",60,"2","Korean","Leisure",4,2,"City",0,"Japan","Japan","2","Economic",60,1,"Public",40,"no income","<=30"
