"","Airport","Airline","Age","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"80","ICN","LCC",28,"Korean","Leisure",4,1,"3",2,"Others","Other","2",29,2,"2",10,"Other","00"
"81","ICN","LCC",29,"Korean","Leisure",6,5,"3",1,"Japan","Other","3",38,2,"3",20,"Other","00"
"82","ICN","LCC",29,"Korean","Leisure",6,5,"3",1,"SA","Other","3",38,1,"1",76,"w/income","00"
"83","ICN","Foreign",30,"Korean","Leisure",5,2,"3",5,"Others","Other","2",53,1,"6",60,"no income","30~150"
"84","ICN","Foreign",22,"Foreign","Other",30,0,"3",0,"Others","Other","4",39,3,"3",15,"Other","00"
"85","ICN","Korean",20,"Korean","Other",21,1,"3",1,"Others","China","3",49,1,"6",50,"no income","00"
"86","ICN","Korean",46,"Korean","Other",4,1,"3",50,"China","Other","3",60.7916666666667,1,"6",40,"Other","30~150"
"87","ICN","Korean",31,"Korean","Other",4,0,"3",100,"Others","Other","1",40,2,"2",10,"Other","00"
"88","ICN","Korean",32,"Korean","Leisure",10,2,"3",2,"SA","China","2",48,2,"2",10,"Other","00"
"89","ICN","Korean",29,"Korean","Leisure",5,2,"3",2,"Japan","Japan","2",54,1,"6",50,"w/income","30~150"
"90","ICN","Korean",35,"Korean","Other",3,5,"3",20,"SA","Other","3",60,1,"6",40,"Other","30~150"
"91","ICN","LCC",28,"Korean","Leisure",7,9,"3",2,"SA","Other","3",45,1,"6",90,"w/income","30~150"
"92","ICN","LCC",53,"Korean","Leisure",7,9,"3",0,"SA","Other","3",45,2,"2",20,"Other","00"
"93","ICN","LCC",29,"Korean","Leisure",6,1,"3",3,"Japan","Japan","2",17,2,"4",60,"Other","00"
"94","ICN","LCC",28,"Korean","Leisure",6,5,"3",0,"SA","Other","3",38,2,"3",20,"Other","00"
"95","ICN","LCC",33,"Korean","Leisure",6,1,"3",1,"Others","Other","2",40,2,"5",60,"Other","00"
"96","ICN","LCC",29,"Korean","Leisure",5,0,"3",1,"SA","Other","2",40,1,"5",60,"w/income","00"
"97","ICN","Foreign",54,"Korean","Leisure",5,26,"3",2,"SA","Other","3",3,2,"2",76,"Other","00"
"98","ICN","Korean",60,"Korean","Leisure",5,2,"3",1,"SA","Other","3",60.7916666666667,1,"6",76,"no income","<=30"
"99","ICN","Foreign",64,"Korean","Leisure",5,26,"3",2,"SA","Other","3",3,2,"2",76,"Other","00"
"100","ICN","LCC",24,"Korean","Leisure",5,1,"3",2,"SA","Other","2",50,1,"6",100,"w/income","30~150"
