Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
2,3,49,2,1,1,4,4,3,2,0,3,1,3,60,2,2,2200,64,9,1
2,1,53,2,1,1,4,2,3,1,1,1,1,1,35,1,2,10000,64,7,4
2,4,59,1,1,1,3,0,3,2,3,2,2,2,5,1,5,3000,120,11,2
2,1,33,1,2,2,7,1,3,2,15,1,2,1,48,2,2,6000,20,1,5
2,3,25,2,1,1,3,3,3,2,0,3,1,1,40,1,6,4000,40,2,4
2,1,28,1,2,1,4,5,3,1,1,1,2,1,35,1,2,10000,20,12,6
2,1,25,1,1,1,5,2,3,2,0,2,2,1,35,1,6,6000,30,8,1
2,1,64,2,1,1,4,13,3,1,0,2,2,1,53,1,4,15000,60,9,4
2,2,70,1,1,1,4,6,4,2,1,1,2,1,33,1,2,11500,120,12,2
2,2,62,2,1,1,4,6,4,2,1,1,2,1,33,2,2,10000,20,11,4
2,2,35,2,1,1,4,6,4,1,1,1,2,1,33,2,2,10000,20,12,2
2,2,35,1,1,4,6,0,4,1,1,1,2,1,33,2,2,10000,20,12,2
2,2,60,2,1,1,2,1,5,2,2,2,2,1,36,2,8,60000,180,11,2
2,3,53,2,1,1,4,4,5,2,1,3,1,3,60,3,8,40000,305,9,1
2,1,21,2,1,1,4,20,5,1,1,2,2,1,60,1,5,2000,50,8,3
2,1,21,2,1,1,5,0,5,2,0,1,2,1,48,1,3,1150,305,8,4
2,3,26,2,1,2,6,3,6,2,2,3,1,1,50,1,6,23000,180,12,2
2,4,51,1,5,1,8,4,7,2,6,4,1,1,11,1,6,20000,120,1,5
2,3,38,2,1,1,3,4,7,1,0,3,1,1,50,1,4,15700,90,5,2
2,3,37,2,1,1,3,4,7,1,1,3,1,1,50,1,6,15700,90,7,2
2,3,58,2,1,1,10,1,8,2,5,2,2,1,23,1,2,17000,40,9,1
2,4,26,1,2,3,50,0,8,2,1,1,3,1,30,1,6,10000,40,8,1
2,4,27,2,2,1,5,2,8,2,2,1,3,1,86,1,2,22800,60,2,3
2,4,23,2,2,1,7,1,8,2,0,1,3,1,24,1,5,2000,30,2,3
2,1,50,2,1,1,5,1,8,2,5,2,2,1,40,1,2,23500,30,9,5
2,2,50,1,1,2,3,0,8,2,10,2,3,2,50,1,2,50000,60,5,5
2,2,32,1,1,2,5,1,8,2,3,2,3,1,70,1,8,25000,60,2,4
2,2,35,1,3,2,3,1,8,2,15,2,3,1,90,1,2,27000,70,1,5
2,4,48,1,1,2,7,4,8,2,10,1,3,1,78,2,6,50300,50,2,4
2,1,34,2,1,4,365,0,8,2,5,1,2,1,48,1,11,75000,60,12,4
2,4,40,1,1,4,99,1,8,2,5,1,3,1,26,1,2,23000,30,2,4
2,1,44,2,1,2,7,28,8,2,12,2,3,2,58,1,1,20000,30,7,6
2,1,68,1,3,2,8,2,8,2,2,2,3,1,53,1,3,10000,50,5,4
2,1,55,1,1,2,365,1,8,2,20,1,2,2,100,1,10,98000,50,1,7
2,3,60,2,1,3,5,0,8,1,12,2,2,1,19,1,2,12000,20,12,2
2,4,35,1,3,3,30,0,8,2,15,2,3,1,200,1,6,10000,180,8,1
2,4,55,2,3,1,3,2,8,2,2,2,3,1,40,1,5,2000,30,9,2
2,4,66,1,3,1,4,1,8,2,1,2,2,1,77,2,5,1300,20,3,2
2,4,41,1,1,2,7,1,8,2,5,1,2,1,33,1,6,6000,180,2,4
2,3,33,1,1,1,3,4,8,2,2,3,1,1,39,1,3,1100,50,2,2
2,4,50,1,2,1,4,3,8,2,7,1,3,1,20,1,6,7000,50,1,6
2,4,23,2,2,1,4,3,8,2,2,1,3,1,20,1,6,7000,50,8,6
2,1,28,1,1,1,4,20,8,1,1,1,2,3,37,1,3,7000,40,6,2
2,1,28,2,2,4,365,2,8,2,2,1,2,1,52,1,2,20000,40,3,2
2,4,61,1,3,2,2,4,8,2,15,2,3,2,17,1,2,30000,40,1,7
