Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Foreign,<=50,1,1,Leisure,7,1,3,1,10,4,2,1,80,1,6,8000,50,1,2
ICN,Korean,>50,1,1,Business,4,2,3,2,8,2,3,2,27,1,5,1500,76,5,3
ICN,Korean,<=50,2,1,Leisure,5,2,3,2,2,3,2,1,40,2,2,3000,5,12,NA
ICN,Korean,<=50,2,1,Leisure,4,1,3,2,2,3,2,1,29,2,2,2700,10,12,NA
ICN,Korean,<=50,2,1,Leisure,6,5,3,2,1,3,3,1,38,2,3,1100,20,12,NA
ICN,Korean,<=50,1,1,Leisure,6,5,3,2,1,3,3,1,38,1,1,1630,76,2,NA
ICN,Foreign,<=50,2,1,Leisure,5,2,3,2,5,3,2,1,53,1,6,10000,60,9,3
ICN,Foreign,<=50,1,4,Business,30,0,3,2,0,4,4,1,39,3,3,1100,15,12,NA
ICN,Korean,>50,1,1,Leisure,5,3,3,2,2,1,2,1,28,2,2,4000,10,12,NA
ICN,Korean,<=50,2,1,Business,21,1,3,2,1,1,3,1,49,1,6,8000,50,8,NA
ICN,Korean,<=50,1,1,Business,4,1,3,2,50,3,3,2,53,1,6,5500,40,12,5
ICN,Korean,<=50,2,1,Business,4,0,3,2,100,3,1,2,40,2,2,8000,10,12,NA
ICN,Korean,<=50,1,1,Leisure,5,4,3,2,4,3,3,1,30,1,6,12000,75,2,2
ICN,Korean,<=50,2,1,Leisure,10,2,3,2,2,1,2,1,48,2,2,5000,10,12,NA
ICN,Korean,<=50,2,1,Leisure,5,2,3,2,2,2,2,1,54,1,6,8000,50,3,2
ICN,Korean,<=50,2,1,Business,3,5,3,2,20,3,3,1,60,1,6,6000,40,12,3
ICN,Korean,<=50,1,1,Leisure,7,9,3,1,2,3,3,1,45,1,6,11000,90,2,4
ICN,Korean,>50,2,1,Leisure,7,9,3,2,0,3,3,1,45,2,2,1050,20,12,NA
ICN,Korean,<=50,1,1,Leisure,6,1,3,2,3,2,2,1,17,2,4,2000,60,12,NA
ICN,Korean,<=50,1,1,Leisure,6,5,3,2,0,3,3,1,38,2,3,1100,20,12,NA
ICN,Korean,<=50,1,1,Leisure,5,2,3,2,3,3,3,1,52,1,5,1200,40,4,5
